Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,100.00%,28.0
Devonte' Graham,PG,100.00%,39.0
Jalen Green,PG,90.00%,19.0
Joel Embiid,UTIL,80.00%,56.0
Marvin Bagley III,PF,80.00%,48.25
Tari Eason,SF,80.00%,38.25
Tre Jones,PG,60.00%,19.75
Bam Adebayo,C,40.00%,57.75
Evan Mobley,C,30.00%,48.75
Tyrese Maxey,G,20.00%,32.25
Giannis Antetokounmpo,UTIL,10.00%,58.25
James Harden,PG,10.00%,69.25
Anthony Edwards,G,10.00%,43.0
Alperen Sengun,C,10.00%,36.5
Jarrett Allen,C,10.00%,24.75
Zach Collins,C,10.00%,39.0
Kyle Anderson,F,10.00%,47.25
Tobias Harris,SF,10.00%,6.0
James Wiseman,C,10.00%,19.75
Harrison Barnes,SF,10.00%,27.0
Hamidou Diallo,SG,10.00%,26.75
John Collins,UTIL,10.00%,3.75
